t_pc_ns,frame_id,sensor_id,accX,accY,accZ,magX,magY,magZ
1637731866687400,133148,0,0.001953125,-0.0078125,1.0078125,-23.55000114440918,-47.25,605.0
1637731866687400,133148,1,-0.033203125,0.791015625,0.55078125,81.75,-5.850000381469727,103.33399963378906
1637731866687400,133148,2,-0.048828125,0.376953125,0.912109375,244.35000610351562,-128.5500030517578,494.16400146484375
1637731866687400,133148,3,-0.076171875,-0.505859375,0.8359375,-315.6000061035156,85.05000305175781,-786.7420043945312
1637731866687400,133148,4,-0.0859375,-0.720703125,0.7109375,295.0500183105469,-302.5500183105469,1551.219970703125
1637731866687400,133148,5,-0.107421875,-0.818359375,0.634765625,49.35000228881836,105.00000762939453,3429.6240234375
1637731939493000,133149,0,0.001953125,-0.001953125,1.005859375,-20.100000381469727,-41.55000305175781,606.9359741210938
1637731939493000,133149,1,-0.029296875,0.80078125,0.546875,87.9000015258789,-5.100000381469727,104.54399871826172
1637731939493000,133149,2,-0.01171875,0.4140625,0.88671875,246.00001525878906,-131.25,492.9540100097656
1637731939493000,133149,3,-0.04296875,-0.4765625,0.837890625,-319.6500244140625,93.0,-786.0159912109375
1637731939493000,133149,4,-0.064453125,-0.69921875,0.703125,300.3000183105469,-294.9000244140625,1554.1240234375
1637731939493000,133149,5,-0.05859375,-0.75,0.66796875,55.95000076293945,95.4000015258789,3423.090087890625
1637732011695400,133150,0,0.0,-0.00390625,1.013671875,-23.100000381469727,-49.95000076293945,604.031982421875
1637732011695400,133150,1,-0.015625,0.80078125,0.544921875,98.55000305175781,-6.300000190734863,96.55799865722656
1637732011695400,133150,2,0.001953125,0.546875,0.90234375,250.20001220703125,-135.0,503.60198974609375
1637732011695400,133150,3,-0.05078125,-0.40234375,0.923828125,-331.5,87.75,-792.3079833984375
1637732011695400,133150,4,-0.08203125,-0.62890625,0.728515625,286.5,-298.3500061035156,1543.2340087890625
1637732011695400,133150,5,-0.08203125,-0.650390625,0.654296875,63.750003814697266,100.35000610351562,3419.218017578125
1637732082814500,133151,0,0.005859375,-0.00390625,1.005859375,-21.150001525878906,-52.20000076293945,597.739990234375
1637732082814500,133151,1,-0.021484375,0.8046875,0.5390625,103.20000457763672,-1.9500000476837158,101.63999938964844
1637732082814500,133151,2,-0.013671875,0.552734375,0.865234375,243.3000030517578,-133.35000610351562,493.19598388671875
1637732082814500,133151,3,-0.05078125,-0.353515625,0.970703125,-336.45001220703125,87.9000015258789,-797.6320190429688
1637732082814500,133151,4,-0.056640625,-0.626953125,0.798828125,292.5,-298.20001220703125,1542.5079345703125
1637732082814500,133151,5,-0.048828125,-0.712890625,0.716796875,56.10000228881836,101.25000762939453,3425.993896484375
1637732155379300,133152,0,0.005859375,-0.00390625,1.0078125,-29.850000381469727,-49.35000228881836,595.0780029296875
1637732155379300,133152,1,-0.02734375,0.806640625,0.509765625,103.95000457763672,-4.650000095367432,97.04199981689453
1637732155379300,133152,2,-0.052734375,0.578125,0.8203125,243.90000915527344,-129.60000610351562,493.19598388671875
1637732155379300,133152,3,-0.091796875,-0.310546875,0.966796875,-349.20001220703125,83.25,-794.4860229492188
1637732155379300,133152,4,-0.078125,-0.6328125,0.8125,309.3000183105469,-294.75,1541.781982421875
1637732155379300,133152,5,-0.1015625,-0.75390625,0.697265625,47.85000228881836,98.70000457763672,3425.02587890625
1637732227096200,133153,0,0.00390625,0.0,1.013671875,-24.0,-50.55000305175781,609.5980224609375
1637732227096200,133153,1,-0.0546875,0.794921875,0.521484375,110.55000305175781,-5.100000381469727,102.1240005493164
1637732227096200,133153,2,-0.048828125,0.62109375,0.79296875,246.45001220703125,-130.5,506.5060119628906
1637732227096200,133153,3,-0.123046875,-0.28515625,0.939453125,-352.20001220703125,85.95000457763672,-796.4219970703125
1637732227096200,133153,4,-0.150390625,-0.6171875,0.767578125,314.8500061035156,-294.9000244140625,1540.81396484375
1637732227096200,133153,5,-0.146484375,-0.716796875,0.677734375,51.900001525878906,100.35000610351562,3418.73388671875
1637732299685600,133154,0,0.013671875,0.0234375,1.013671875,-28.500001907348633,-53.400001525878906,602.822021484375
1637732299685600,133154,1,-0.0234375,0.783203125,0.556640625,118.05000305175781,-1.350000023841858,97.04199981689453
1637732299685600,133154,2,-0.015625,0.611328125,0.755859375,241.20001220703125,-136.0500030517578,501.1820068359375
1637732299685600,133154,3,-0.08984375,-0.232421875,1.001953125,-361.95001220703125,88.80000305175781,-806.1019897460938
