t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ
430985325974300,3,-0.0352,0.8125,-0.5371,50.85,15.90,-789.40
430985338968200,4,-0.0352,0.8613,-0.5000,-39.45,-320.40,1607.36
430985351380000,5,-0.0293,0.8555,-0.4414,75.60,69.90,3478.99
430985364924200,0,0.0098,0.0000,1.0059,-19.65,-43.95,469.00
430985377934300,1,-0.0156,0.7949,0.5469,139.80,8.70,-275.64
430985390405300,2,-0.0156,0.9414,-0.3027,-204.75,-138.75,469.48
430985403932100,3,-0.0312,0.8184,-0.5312,58.95,21.90,-788.68
430985416955300,4,-0.0332,0.8633,-0.4961,-37.20,-324.15,1613.66
430985429375600,5,-0.0273,0.8555,-0.4434,66.75,72.75,3479.23
430985442320700,0,0.0078,0.0000,1.0059,-13.65,-42.75,470.93
430985456032100,1,-0.0195,0.7969,0.5430,133.05,4.50,-271.28
430985468412800,2,-0.0176,0.9414,-0.3027,-207.30,-135.45,474.32
430985481353400,3,-0.0332,0.8184,-0.5352,56.55,14.70,-781.66
430985494995400,4,-0.0371,0.8633,-0.4941,-40.05,-310.20,1606.40
430985507355900,5,-0.0312,0.8555,-0.4395,74.40,72.15,3469.31
430985520365200,0,0.0117,-0.0020,1.0078,-9.90,-40.50,465.12
430985534061600,1,-0.0215,0.7949,0.5469,134.55,7.20,-273.94
430985546523300,2,-0.0215,0.9395,-0.3027,-199.05,-130.95,470.69
430985559401300,3,-0.0332,0.8184,-0.5352,56.10,17.55,-784.81
430985572982100,4,-0.0332,0.8633,-0.5000,-40.65,-320.85,1607.85
430985585406400,5,-0.0293,0.8555,-0.4414,75.15,72.75,3471.49
430985598369100,0,0.0117,-0.0020,1.0078,-10.20,-39.60,464.16
430985611348700,1,-0.0234,0.7969,0.5449,138.90,5.85,-287.98
430985625111000,2,-0.0176,0.9414,-0.3008,-206.40,-133.50,483.76
430985637398400,3,-0.0293,0.8184,-0.5352,55.05,16.65,-782.63
430985651013400,4,-0.0352,0.8613,-0.4980,-47.55,-317.25,1620.43
430985663953900,5,-0.0273,0.8594,-0.4414,73.20,70.50,3475.12
430985676407300,0,0.0078,-0.0039,1.0098,-14.70,-39.30,477.47
430985689397500,1,-0.0195,0.7988,0.5430,135.15,5.25,-269.35
430985703034700,2,-0.0176,0.9434,-0.2988,-204.45,-138.00,483.76
430985715377800,3,-0.0312,0.8164,-0.5312,52.95,13.35,-791.34
430985728446200,4,-0.0371,0.8613,-0.4961,-45.60,-318.45,1600.83
430985741993300,5,-0.0312,0.8535,-0.4434,68.10,72.90,3471.49
430985754367200,0,0.0117,0.0000,1.0000,-10.20,-37.35,467.06
430985767364900,1,-0.0195,0.7988,0.5449,139.20,5.25,-280.72
430985781058900,2,-0.0176,0.9414,-0.3008,-208.65,-137.85,470.69
430985793415700,3,-0.0293,0.8164,-0.5332,51.45,18.30,-794.00
430985806412100,4,-0.0332,0.8594,-0.5000,-42.60,-316.35,1609.78
430985819363500,5,-0.0273,0.8535,-0.4414,74.40,72.60,3469.31
430985833000700,0,0.0117,-0.0020,1.0039,-14.70,-45.30,479.89
430985845359100,1,-0.0254,0.7969,0.5449,142.95,1.05,-283.87
430985858393200,2,-0.0234,0.9395,-0.3008,-198.75,-132.45,471.90
430985871976100,3,-0.0293,0.8184,-0.5312,55.95,6.60,-789.65
430985884393900,4,-0.0312,0.8633,-0.5000,-45.75,-316.20,1608.33
430985897403900,5,-0.0234,0.8555,-0.4414,71.70,70.50,3475.85
430985910382500,0,0.0156,-0.0039,0.9980,-12.90,-46.95,464.40
430985924189400,1,-0.0156,0.7969,0.5410,133.05,13.20,-278.30
430985936411200,2,-0.0176,0.9355,-0.3027,-201.75,-136.95,482.55
430985949379500,3,-0.0332,0.8184,-0.5312,55.50,23.40,-782.39
430985963205000,4,-0.0332,0.8633,-0.4961,-38.25,-318.90,1618.98
430985975386900,5,-0.0254,0.8594,-0.4395,73.95,72.00,3479.96
430985988434800,0,0.0078,0.0000,1.0098,-13.95,-42.00,468.27
430986001427200,1,-0.0215,0.7949,0.5469,135.60,9.00,-289.19
430986014424600,2,-0.0215,0.9414,-0.3008,-204.60,-137.40,482.55
430986027391900,3,-0.0312,0.8164,-0.5293,54.45,21.15,-790.37
430986040420300,4,-0.0293,0.8555,-0.5020,-42.15,-324.15,1621.88
430986053384400,5,-0.0234,0.8555,-0.4395,65.85,73.50,3471.49
430986066386800,0,0.0059,-0.0020,1.0117,-15.45,-43.80,470.93
430986079386100,1,-0.0234,0.7949,0.5449,140.10,7.05,-280.72
430986092998100,2,-0.0215,0.9434,-0.3027,-208.20,-137.25,471.66
430986105478600,3,-0.0352,0.8164,-0.5293,52.95,18.75,-785.77
430986118483400,4,-0.0332,0.8613,-0.4922,-45.60,-320.70,1609.06
430986131448300,5,-0.0273,0.8555,-0.4453,75.75,72.60,3479.72
430986144411000,0,0.0156,-0.0059,1.0059,-11.70,-40.05,466.82
