t_ns,board_id,sensor_id,t,x,y,z,theta_1,theta_2,theta_3,theta_4
270100498485300,1,4,27.34513282775879,-478.95001220703125,13.200000762939453,-245.6300048828125,,,,
270100500706100,2,0,27.94247817993164,24.600000381469727,-58.05000305175781,-1507.176025390625,,,,
270100500706100,2,1,28.16371726989746,24.30000114440918,-462.6000061035156,-1304.137939453125,,,,
270100500706100,2,2,27.256637573242188,52.20000076293945,374.5500183105469,-1350.843994140625,,,,
270100500706100,2,3,26.216814041137695,435.9000244140625,6.600000381469727,-1319.384033203125,,,,
270100500706100,2,4,27.676990509033203,368.1000061035156,-5.100000381469727,-1281.3900146484375,,,,
270100512803300,0,0,26.039823532104492,36.30000305175781,-55.35000228881836,657.27197265625,,,,
270100512803300,0,1,26.792036056518555,4.650000095367432,-180.0,505.7799987792969,,,,
270100512803300,0,2,27.544246673583984,51.60000228881836,129.75,548.1300048828125,,,,
270100512803300,0,3,28.45132827758789,116.85000610351562,21.75,553.4539794921875,,,,
270100512803300,0,4,27.34513282775879,94.80000305175781,-42.30000305175781,530.947998046875,,,,
270100515185000,1,0,26.327434539794922,27.450000762939453,-63.30000305175781,-284.833984375,,,,
270100515185000,1,1,27.831857681274414,9.600000381469727,508.95001220703125,-323.31201171875,,,,
270100515185000,1,2,26.150442123413086,-9.450000762939453,-488.5500183105469,-298.8699951171875,,,,
270100515185000,1,3,28.318584442138672,-478.6500244140625,31.650001525878906,-246.3560028076172,,,,
270100515185000,1,4,27.234512329101562,-474.6000061035156,15.15000057220459,-234.74000549316406,,,,
270100517403600,2,0,27.809734344482422,27.150001525878906,-55.35000228881836,-1501.3680419921875,,,,
270100517403600,2,1,28.296459197998047,19.200000762939453,-451.3500061035156,-1313.5760498046875,,,,
270100517403600,2,2,27.234512329101562,49.650001525878906,373.20001220703125,-1345.761962890625,,,,
270100517403600,2,3,26.084070205688477,432.45001220703125,8.40000057220459,-1326.1600341796875,,,,
270100517403600,2,4,27.65486717224121,365.5500183105469,2.5500001907348633,-1282.5999755859375,,,,
270100529666500,0,0,25.973451614379883,32.70000076293945,-61.95000076293945,657.7559814453125,,,,
270100529666500,0,1,26.681415557861328,12.15000057220459,-180.45001220703125,501.9079895019531,,,,
270100529666500,0,2,27.477876663208008,45.30000305175781,123.9000015258789,544.0159912109375,,,,
270100529666500,0,3,28.318584442138672,117.9000015258789,22.650001525878906,542.0800170898438,,,,
270100529666500,0,4,27.4115047454834,102.75000762939453,-41.400001525878906,529.4959716796875,,,,
270100531883100,1,0,26.482301712036133,23.850000381469727,-56.10000228881836,-282.656005859375,,,,
270100531883100,1,1,28.07522201538086,18.600000381469727,508.5000305175781,-334.4440002441406,,,,
270100531883100,1,2,26.128318786621094,-9.600000381469727,-483.1500244140625,-301.0480041503906,,,,
270100531883100,1,3,28.495574951171875,-481.3500061035156,30.30000114440918,-259.42401123046875,,,,
270100531883100,1,4,27.36725616455078,-477.1500244140625,10.200000762939453,-245.6300048828125,,,,
270100534089600,2,0,27.809734344482422,26.850000381469727,-61.500003814697266,-1505.48193359375,,,,
270100534089600,2,1,28.362831115722656,22.950000762939453,-459.7500305175781,-1307.283935546875,,,,
270100534089600,2,2,27.455751419067383,49.650001525878906,372.75,-1350.1180419921875,,,,
270100534089600,2,3,25.973451614379883,430.3500061035156,8.40000057220459,-1320.593994140625,,,,
270100534089600,2,4,27.522123336791992,368.1000061035156,-7.350000381469727,-1294.2159423828125,,,,
270100546460800,0,0,26.061946868896484,35.55000305175781,-64.5,659.9340209960938,,,,
270100546460800,0,1,26.92477798461914,8.40000057220459,-180.0,496.583984375,,,,
270100546460800,0,2,27.743362426757812,52.80000305175781,123.9000015258789,546.1939697265625,,,,
270100546460800,0,3,28.539823532104492,113.4000015258789,15.15000057220459,548.614013671875,,,,
270100546460800,0,4,27.27876091003418,88.5,-37.20000076293945,530.7059936523438,,,,
270100548585300,1,0,26.54867172241211,27.150001525878906,-61.80000305175781,-283.8659973144531,,,,
270100548585300,1,1,27.920352935791016,10.65000057220459,507.6000061035156,-325.24798583984375,,,,
