frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
114,1111640993102910,-0.0898,-1.2226,-2.5395,2.1504,-3.6904,3.1986,3.2319,2.3419,-0.3710,0.2317,-0.6506,1.6577,-4.0771
115,1111641026651881,-0.4746,-0.9742,-2.5758,1.7327,-3.6569,3.2052,3.1849,2.2948,-0.3509,0.5032,-1.0434,1.6935,4.2626
116,1111641060200852,-0.7760,-1.2466,-2.7511,2.3027,-3.6089,2.7451,3.4390,2.3477,-0.7496,0.4516,-1.3594,2.3399,-2.7920
117,1111641093749823,0.0958,-1.1933,-2.5185,2.0792,-3.8244,2.8757,2.9759,2.4170,-0.7123,0.3353,-0.5734,1.7663,-3.9467
118,1111641127298793,0.0701,-1.2458,-2.3694,1.9549,-3.7442,2.6041,3.0865,1.8643,-0.3137,0.5330,-0.7101,1.3712,0.3537
119,1111641160847764,0.4027,-1.5037,-2.4813,1.8752,-3.8442,2.9769,2.3445,2.6027,-0.5618,0.3495,-1.3420,1.7311,4.6541
120,1111641194396735,0.7296,-1.2238,-3.5972,2.1220,-3.8604,3.0663,2.3025,2.3377,-0.1067,0.0504,-0.8709,1.5222,4.1466
121,1111641227945706,0.3543,-1.5489,-3.3157,2.5132,-3.8188,2.7387,2.1016,1.9206,-0.5420,0.5542,-0.3243,1.0304,3.2087
122,1111641261494677,0.6946,-1.7067,-3.0488,1.7969,-3.2460,2.2272,2.2734,2.0491,-0.5561,0.3320,-1.3201,1.9709,2.0407
123,1111641295043647,0.6889,-1.7313,-2.9478,2.3943,-3.5599,1.8750,2.8634,1.0768,-0.2532,0.1767,-1.6041,1.5313,2.5148
124,1111641328592618,0.7977,-1.7747,-2.8687,2.5219,-3.9558,2.4157,2.3803,1.4240,-0.4813,0.1219,-1.4728,2.0082,0.8645
125,1111641362141589,0.7836,-1.7856,-3.0803,2.5235,-3.6092,2.0454,2.6900,1.9729,-0.7095,0.0671,-1.0345,1.6092,0.7938
126,1111641395690560,0.2937,-1.4400,-2.4066,1.8720,-3.3436,1.7656,2.6619,2.2699,-0.7865,0.1134,-0.7786,0.9156,0.7231
127,1111641429239531,0.5647,-2.0030,-2.4486,2.2342,-3.5088,2.2595,2.2579,2.2506,-0.7520,-0.3209,-0.2696,1.1952,0.6524
128,1111641462788501,0.6221,-1.8769,-2.9249,2.3329,-3.2906,2.0012,3.1969,1.8994,-0.4536,-0.4405,0.0582,1.1453,2.4413
129,1111641496337472,-0.1942,-1.2479,-2.6905,2.0493,-3.4549,2.8274,2.6283,2.2385,-0.7560,0.0792,0.2573,0.3862,4.2301
130,1111641529886443,0.0265,-1.1456,-1.8651,1.0135,-2.9920,2.6989,3.1410,1.5884,0.1118,0.2277,-0.8656,1.6917,3.6363
131,1111641563435414,0.1740,-1.2697,-2.9021,1.5118,-2.4352,2.9773,3.1583,2.3730,-0.4151,0.1334,-0.7105,1.4882,3.0425
132,1111641596984385,0.4821,-1.0484,-3.1098,2.3922,-3.4272,3.0714,3.3265,2.3628,0.2906,0.1231,-0.9879,1.4445,4.0674
133,1111641630533355,-0.0800,-0.8334,-2.5222,0.9109,-2.2945,3.0410,3.7706,2.5119,0.2002,0.3995,-0.8457,1.2271,0.7067
134,1111641664082326,0.2795,-1.4050,-2.6586,2.3751,-3.1789,2.9927,3.4924,3.0098,-0.1739,0.5562,-0.5320,0.5128,-2.6540
135,1111641697631297,0.1465,-1.4749,-2.3107,1.7345,-3.1027,3.4014,3.7916,2.3074,0.1535,0.3590,-1.3945,1.6929,3.9693
136,1111641731180268,0.5288,-1.3956,-2.0934,1.4609,-2.8828,3.2811,3.7067,2.4344,0.1782,-0.0404,0.0270,0.5245,4.3763
137,1111641764729239,0.7348,-1.6733,-2.0362,1.3883,-2.5899,2.5168,3.9627,2.4967,-0.0939,0.1888,-1.5606,2.2064,4.7833
138,1111641798278209,0.4767,-1.2192,-2.6692,2.0390,-3.4868,3.0656,4.0308,2.2487,-0.3390,0.4575,-1.3202,1.8132,5.1903
139,1111641831827180,0.2631,-1.4090,-2.3081,1.4827,-3.1869,2.7895,3.8822,2.0731,-0.0758,0.5505,-0.6979,1.4048,3.6819
140,1111641865376151,0.5786,-1.7088,-1.9749,1.0166,-2.9942,2.4210,4.1042,1.6134,0.1608,0.6582,-2.4231,3.0608,2.7095
