t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
165130566576900,0,0.0254,-0.0098,1.0098,31.35,-51.6,450.6,-25.436532956205046,-27.778762971992627,-29.587354201265633,-18.258924381823526,-11.73415660048589,-6.34939281516246,-1.9813031371466834,4.045396297160888,1.8146550993703272,3.6604587890024667,-1.215581275868253,0.8679326848389491,-0.0012414555659405746
165130579675500,1,0.002,-0.6074,0.8027,-84.6,17.25,-255.79,-25.238569202280864,-27.837062644653958,-29.384716640581566,-18.359752890134867,-11.184597941230297,-6.742167897371534,-1.58788725284343,3.8656478578368745,1.5673341746187255,3.628703535603998,-1.5676053063503124,1.9126751177582093,-1.273655751259561
165130592613500,2,-0.0527,-0.8926,0.5059,99.45,-171.0,472.14,-24.9553060089857,-27.873969901109355,-29.226191186663627,-18.54661784454534,-10.716271219137361,-6.8663344530179025,-1.0122658637694508,3.451979025065978,1.4023060136110264,3.050050479035468,-1.2509058961949622,3.442436960624306,-2.930879440526972
165130605646800,3,-0.0273,-0.7969,0.6016,105.6,113.4,-832.0,-24.69016393886255,-27.911187817506875,-29.04975376945299,-18.71264346654739,-10.373782816479082,-6.975990690093009,-0.5951228268782571,3.1778417678570134,1.3350145687373336,2.6701037456318764,-0.9380339757432505,4.238724724844834,-3.70121204028979
165130618646900,4,-0.0059,-0.6875,0.7617,-84.45,-415.2,1580.02,-24.497501628176217,-27.948448814349053,-28.814267801258463,-18.799306187875825,-10.491569948676869,-7.030557742340559,-0.7572346520020483,3.411032034824297,1.6195049285133984,3.012339820893213,-0.6478485109996015,2.386667759766359,-1.2747882873952676
165130631651900,5,0.002,-0.5723,0.8438,178.35,76.05,3425.99,-24.30476669917753,-27.98572385561278,-28.578693073650996,-18.886001574132564,-10.609401477221436,-7.08514536201113,-0.919407580343746,3.644310195908406,1.9041025184463778,3.354704891836797,-0.35755366949906253,0.5339127170477971,1.152550033570976
165130644819800,0,0.0215,-0.0117,1.002,34.5,-55.5,456.17,-23.795494716983658,-27.812284297925654,-28.693219271760295,-19.117875175833735,-10.7230683310055,-6.326201371507878,-1.675449958942584,3.537415218741281,2.7818382444331036,3.766225563257491,-0.9031353277740211,0.6528077848257223,-0.884984336116861
165130657643000,1,0.0059,-0.6406,0.791,-86.7,15.3,-266.44,-23.285337512925107,-27.63382725804243,-28.82072591226251,-19.35020028754115,-10.833504410347583,-5.55027469102002,-2.4384866238605465,3.4177906485706586,3.6632801537245356,4.1699094968147055,-1.4724298329944596,0.8588738445444644,-3.072629005607716
165130670648200,2,-0.0059,-0.8984,0.5059,95.25,-168.45,483.52,-23.023158055735326,-27.431312922511477,-28.722772118508757,-19.55772228634326,-11.022989831575273,-5.40422791290747,-2.2727059962847282,3.4716473968799146,3.4150363057873605,4.339844444702162,-1.5180561641192332,1.3779749473410603,-2.967565735951495
165130683660400,3,0.0176,-0.7734,0.6055,108.15,121.95,-839.26,-22.87591966831991,-27.21898385542532,-28.52228575485217,-19.75268500101217,-11.247515115626213,-5.54709157032465,-1.6831337979364456,3.6045242969273805,2.651623826499028,4.401886070131707,-1.3239330440964476,2.037189312125926,-1.8146255300524508
