frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
61,165129189354900,-26.5544,-29.8417,-29.5870,-22.1668,-12.1594,-6.6482,-3.3451,1.2317,1.2416,1.2579,nan,nan,nan
62,165129218801467,-26.7427,-30.0097,-28.7797,-22.7087,-11.7694,-6.3699,-4.0857,1.5890,0.8115,1.8582,nan,nan,nan
63,165129248248034,-26.7929,-29.8438,-30.1369,-21.6081,-11.5048,-6.7323,-3.2712,1.5100,0.1378,1.7563,nan,nan,nan
64,165129277694601,-27.0671,-29.6922,-30.2859,-21.0958,-12.3020,-6.4970,-3.3852,1.8237,0.3195,1.5004,nan,nan,nan
65,165129307141169,-26.7476,-29.6652,-30.6390,-20.9269,-12.2535,-6.3524,-3.2507,1.6578,0.3519,1.9567,nan,nan,nan
66,165129336587736,-26.8672,-29.7342,-30.3455,-21.8586,-11.5762,-6.5463,-2.8712,1.2379,0.2235,2.6866,nan,nan,nan
67,165129366034303,-26.7944,-29.8147,-30.0337,-22.2925,-11.2085,-6.7771,-3.5001,1.8219,0.7211,2.5704,nan,nan,nan
68,165129395480870,-27.0152,-29.3945,-30.5951,-21.2961,-11.9372,-6.6080,-3.2392,1.8753,0.8064,1.8936,nan,nan,nan
69,165129424927438,-27.2831,-29.6492,-30.2291,-20.9637,-12.4615,-6.2580,-3.6659,1.4676,1.1086,1.8684,nan,nan,nan
70,165129454374005,-27.4063,-29.2635,-30.3610,-20.9886,-12.5555,-6.4924,-3.1039,0.7365,1.7470,2.2166,nan,nan,nan
71,165129483820572,-27.3216,-29.2514,-30.3364,-21.1332,-12.4972,-6.4511,-2.6887,0.8195,1.0326,1.7181,nan,nan,nan
72,165129513267140,-27.1640,-29.4550,-30.3083,-21.6208,-11.8494,-6.7176,-2.3565,0.7288,0.7687,1.3497,nan,nan,nan
73,165129542713707,-27.1661,-29.6021,-30.2381,-21.8110,-11.6652,-6.1286,-3.0541,0.9828,0.4387,2.3532,nan,nan,nan
74,165129572160274,-27.1316,-29.6953,-30.3484,-20.7141,-12.6999,-6.0196,-2.8330,0.9839,0.2766,1.5112,nan,nan,nan
75,165129601606841,-27.4933,-29.3713,-30.2447,-20.8746,-12.4509,-6.3950,-2.9364,1.0807,0.4912,1.9366,nan,nan,nan
76,165129631053409,-27.4946,-29.3864,-30.2140,-21.6158,-11.9373,-6.2829,-2.7908,1.0295,0.8148,1.6765,nan,nan,nan
77,165129660499976,-27.5773,-29.3951,-29.9682,-22.0187,-11.7919,-6.1483,-3.5317,1.6473,0.2829,2.2809,nan,nan,nan
78,165129689946543,-27.2702,-29.3611,-30.4405,-21.3823,-12.0583,-6.4070,-3.2424,1.5454,0.7307,1.7693,nan,nan,nan
79,165129719393110,-27.4282,-29.5185,-30.1499,-21.5581,-11.8879,-6.5518,-3.0403,0.9089,1.1072,2.0918,nan,nan,nan
80,165129748839678,-27.3973,-29.5316,-30.2356,-20.9780,-12.6713,-6.2495,-2.6505,0.7300,0.5298,2.4497,nan,nan,nan
81,165129778286245,-27.2464,-29.7379,-30.0814,-21.2052,-12.5609,-6.0441,-2.2820,-0.0574,1.0228,0.9656,nan,nan,nan
82,165129807732812,-27.3101,-29.5567,-29.6325,-22.0764,-12.6400,-6.4484,-1.0106,-0.3813,0.7226,nan,nan,nan,nan
83,165129837179379,-27.7264,-29.3401,-30.2369,-21.6033,-12.2659,-6.0907,-2.5547,1.3256,0.0590,1.1442,nan,nan,nan
84,165129866625947,-27.3515,-29.4093,-30.7037,-21.0158,-12.1308,-5.8913,-3.6549,1.9627,-0.5895,2.3562,nan,nan,nan
85,165129896072514,-27.6502,-29.3259,-30.3479,-21.1882,-12.3681,-6.5080,-2.1470,0.8834,-0.7400,2.4516,nan,nan,nan
86,165129925519081,-27.6214,-29.6097,-29.7989,-21.4104,-12.5862,-6.7752,-2.1297,0.5937,0.3096,3.1096,nan,nan,nan
87,165129954965648,-27.8185,-28.8048,-30.8588,-21.1031,-12.6925,-6.3240,-2.5016,1.3127,0.1533,nan,nan,nan,nan
88,165129984412216,-27.7004,-29.3244,-30.8109,-21.2300,-12.5610,-5.8888,-1.5972,0.7481,1.1195,2.2777,nan,nan,nan
89,165130013858783,-27.1391,-29.2168,-30.8448,-21.7436,-12.4055,-6.4746,-1.0473,0.7011,1.2363,3.4263,nan,nan,nan
90,165130043305350,-27.1533,-28.8523,-31.2034,-21.0700,-12.7207,-6.3346,-3.1136,2.1721,1.1077,2.3503,nan,nan,nan
91,165130072751917,-27.4577,-28.9084,-30.5648,-21.2753,-13.0184,-6.1054,-3.5487,2.8559,0.7381,2.8411,nan,nan,nan
92,165130102198485,-27.2705,-29.0756,-28.7064,-22.6853,-12.7593,-6.3565,-2.5580,2.3410,1.8884,2.2048,nan,nan,nan
93,165130131645052,-27.3664,-29.2350,-30.3035,-20.9332,-12.4611,-6.4211,-2.6054,1.6502,3.2626,1.0161,nan,nan,nan
94,165130161091619,-27.1326,-28.6167,-30.8142,-20.4805,-12.3282,-7.3264,-2.1858,2.0614,2.2000,1.8493,nan,nan,nan
95,165130190538187,-27.0221,-28.4210,-31.1420,-20.9087,-12.1756,-6.1561,-3.4283,2.0320,2.4084,2.7233,nan,nan,nan
96,165130219984754,-27.3692,-28.0858,-30.5360,-20.3574,-12.8811,-7.0465,-2.3025,1.6432,0.8947,4.7522,nan,nan,nan
97,165130249431321,-27.6331,-28.6721,-30.0541,-20.5328,-12.6141,-6.5026,-1.8698,0.8910,1.2991,4.1254,-1.4741,nan,nan
98,165130278877888,-27.3896,-28.2538,-30.7765,-20.0360,-12.4032,-6.0562,-2.7819,0.7624,0.9056,4.2340,-0.4362,nan,nan
99,165130308324456,-27.6330,-27.6767,-30.0055,-20.8208,-11.9933,-7.0258,-2.9131,3.1263,-0.7275,4.4675,1.5458,nan,nan
100,165130337771023,-27.5775,-27.6607,-30.0290,-21.0633,-12.2670,-6.1703,-2.4189,2.0254,2.4469,1.5166,1.4577,-0.8541,nan
101,165130367217590,-27.1995,-27.3928,-30.7604,-20.3126,-12.4017,-5.8375,-2.3948,2.8181,2.4724,0.8239,1.2587,6.5427,nan
102,165130396664157,-26.8739,-27.7419,-30.7540,-19.9223,-11.8135,-6.7830,-1.8622,2.5569,1.2067,2.1055,1.7836,4.8630,nan
103,165130426110725,-26.6027,-27.6457,-30.7319,-19.7620,-11.9100,-6.4763,-2.6648,4.6328,-0.4048,2.1583,1.6151,3.5340,0.1265
104,165130455557292,-26.2845,-28.0510,-30.0853,-20.0512,-12.0618,-6.7913,-2.5451,3.7018,1.9287,0.7977,2.8143,3.7255,-4.6288
105,165130485003859,-26.0882,-28.2552,-28.2885,-21.3160,-12.6092,-6.2795,-2.4663,4.2683,1.6011,2.0204,0.2729,3.1037,0.6578
106,165130514450426,-26.3397,-27.4214,-27.9308,-21.6147,-12.5652,-5.4165,-2.8271,5.1024,1.3735,2.2946,1.5114,1.2742,-1.1431
107,165130543896994,-25.6354,-27.6439,-30.0065,-18.2275,-12.8079,-5.2366,-2.3557,3.9693,2.3729,2.8177,0.4838,-0.1244,1.5451
108,165130573343561,-25.3772,-27.8190,-29.4623,-18.2683,-11.4138,-6.6814,-1.8696,4.0681,1.6481,3.9119,-1.7226,1.1640,-0.4626
109,165130602790128,-24.7325,-27.9030,-29.1015,-18.6936,-10.3479,-6.9640,-0.5595,3.1266,1.2725,2.5949,-1.0018,4.6457,-4.2344
110,165130632236695,-24.2961,-27.9874,-28.5681,-18.8899,-10.6147,-7.0876,-0.9267,3.6548,1.9169,3.3701,-0.3445,0.4506,1.2617
111,165130661683263,-23.1246,-27.5776,-28.8609,-19.4234,-10.8683,-5.3058,-2.6789,3.3801,3.9410,4.2971,-1.6518,0.9238,-3.7619
112,165130691129830,-22.7914,-27.0971,-28.4072,-19.8646,-11.3764,-5.6291,-1.3447,3.6808,2.2134,4.4375,-1.2125,2.4156,-1.1528
113,165130720576397,-21.8164,-26.8951,-27.7423,-21.2124,-11.0062,-8.1541,1.0559,3.6742,3.9345,3.1968,-2.0445,nan,nan
114,165130750022964,-21.2668,-26.2971,-28.5784,-20.3692,-12.2130,-5.1614,-0.7534,3.5642,2.5398,3.0405,-1.7729,nan,nan
115,165130779469532,-20.9177,-25.7640,-28.2172,-20.4912,-11.9232,-5.6932,-1.2433,3.3628,3.0502,2.1103,-0.2739,1.3554,-2.6372
116,165130808916099,-20.3836,-25.1411,-28.0800,-19.9703,-11.7675,-7.2690,-0.4642,2.4429,3.9402,0.9791,-0.4221,nan,nan
117,165130838362666,-19.5963,-24.7151,-27.8186,-19.3836,-12.5566,-5.6241,-3.3488,nan,nan,nan,-2.1316,2.3847,1.5825
118,165130867809234,-18.7549,-24.5461,-26.2465,-20.2626,-12.3401,-7.5148,-3.9623,3.8330,1.3497,3.0944,-0.8606,1.7502,-4.0581
119,165130897255801,-18.1516,-23.7072,-24.7663,-22.0900,-11.9354,-8.1133,-3.8539,3.6270,0.6927,2.5457,0.2632,-0.8590,-0.8134
120,165130926702368,-17.9497,-23.2194,-26.9697,-18.4076,-13.3574,-6.8326,-3.5956,1.9194,-1.4621,2.9540,-0.2667,0.5315,0.5116
121,165130956148935,-18.0636,-22.4860,-26.0055,-19.0388,-12.7568,-6.5658,-4.8322,0.5809,0.2176,2.8212,-2.7098,2.0014,0.1111
122,165130985595503,-17.5365,-21.8043,-26.0153,-18.9295,-12.5278,-8.5603,-3.2449,-0.2752,2.1469,-0.1610,-0.3341,0.6933,-1.0550
123,165131015042070,-17.3721,-21.2367,-26.1659,-19.2781,-12.0192,-7.8506,-3.9700,1.1309,0.1817,-1.2178,0.0749,2.1054,-0.9477
124,165131044488637,-17.1353,-21.6489,-24.5796,-20.1507,-11.4202,-7.7579,-4.3932,1.5236,0.2564,-0.2939,-0.1184,0.5202,-0.4447
125,165131073935204,-17.9598,-21.5058,-23.6273,-19.9855,-11.4152,-6.8695,-4.1813,1.5182,-0.6985,-0.8937,-0.2111,0.8241,-1.9741
126,165131103381772,-18.5668,-21.7922,-22.9200,-20.1490,-10.9495,-6.8905,-3.3728,1.2200,-0.5871,0.5973,-0.2820,1.9494,-1.0131
127,165131132828339,-18.9342,-22.9543,-24.3350,-18.2900,-11.0118,-5.7165,-2.0338,1.0284,0.6961,1.3251,0.8169,-1.4574,-0.9441
