accX_0,accY_0,accZ_0,magX_0,magY_0,magZ_0,accX_1,accY_1,accZ_1,magX_1,magY_1,magZ_1,accX_2,accY_2,accZ_2,magX_2,magY_2,magZ_2,accX_3,accY_3,accZ_3,magX_3,magY_3,magZ_3,accX_4,accY_4,accZ_4,magX_4,magY_4,magZ_4,accX_5,accY_5,accZ_5,magX_5,magY_5,magZ_5,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0.0078125,-0.0078125,1.001953125,24.450000762939453,-52.650001525878906,563.3759765625,-0.017578125,-0.005859375,1.015625,-3.3000001907348633,-12.300000190734863,44.77000045776367,-0.07421875,0.08203125,0.99609375,18.0,-152.70001220703125,469.72198486328125,-0.09375,-0.09765625,1.005859375,-90.45000457763672,24.600000381469727,-866.3599853515625,-0.10546875,-0.322265625,0.958984375,179.70001220703125,-327.6000061035156,1563.803955078125,-0.103515625,-0.4296875,0.921875,103.95000457763672,66.0,3441.239990234375,2.746430764106416,3.0420636623058788,-2.577536198082765,-3.279342932972375,0.685174092762415,5.652935617431813,0.2607137908144705,0.5022312353833289,-1.1916382797329668,1.1060881325622818,-1.2938674148040008,1.7372127388866054,0.6124620332704964
0.01171875,-0.005859375,1.0234375,23.850000381469727,-54.30000305175781,576.6859741210938,0.0078125,-0.0078125,1.02734375,-4.050000190734863,-6.600000381469727,41.38199996948242,-0.0546875,0.025390625,0.990234375,16.5,-153.90000915527344,473.35198974609375,-0.12109375,-0.08203125,0.998046875,-84.0,30.150001525878906,-861.0360107421875,-0.15625,-0.201171875,0.982421875,156.90000915527344,-325.20001220703125,1559.9320068359375,-0.1484375,-0.23046875,0.9609375,107.4000015258789,72.1500015258789,3448.5,2.8417895348840703,2.2841476947400503,-2.0277019535940095,-3.5460118505691267,1.0105971964019116,5.478423662260563,-0.7128764640919373,1.2392506308766347,-1.8053199141167362,1.5253516920554475,-0.6992160917509526,0.8884351982747273,0.9959488849239339
0.017578125,-0.0078125,1.009765625,30.30000114440918,-55.500003814697266,572.3300170898438,-0.0078125,-0.017578125,1.01953125,-6.900000095367432,-5.100000381469727,53.23999786376953,-0.0625,0.021484375,0.986328125,14.40000057220459,-151.5,477.2239990234375,-0.1484375,-0.06640625,0.998046875,-50.85000228881836,29.55000114440918,-856.1959838867188,-0.1171875,-0.13671875,0.9921875,123.9000015258789,-322.6500244140625,1576.387939453125,-0.138671875,-0.09765625,0.998046875,113.55000305175781,73.35000610351562,3452.614013671875,2.6784274472775866,2.214126407829863,-1.9496242627502511,-3.9202881802650027,1.0205148633337047,5.368464346919051,-0.2846048428430395,0.8260279208046617,-1.0431660295022818,0.5764415750822106,-1.6449190012693506,2.323322665942178,-0.32233155900382304
0.01171875,-0.005859375,1.0078125,17.850000381469727,-54.30000305175781,572.8140258789062,-0.03125,0.021484375,0.984375,-8.850000381469727,-11.700000762939453,46.947998046875,-0.013671875,0.072265625,0.9609375,17.700000762939453,-146.70001220703125,474.32000732421875,-0.056640625,-0.02734375,1.001953125,-31.950000762939453,19.650001525878906,-859.583984375,-0.037109375,-0.1015625,0.998046875,113.70000457763672,-329.25,1567.4339599609375,-0.068359375,-0.04296875,0.994140625,113.55000305175781,74.85000610351562,3453.823974609375,3.1435307591603903,2.322223661755599,-2.5931180412986783,-3.5749448821363337,1.1881109928053049,5.52861508586945,-0.6323287437024447,1.408207515169807,-1.022927074175872,0.7425923493148138,-0.7329826734862915,1.3065485655873657,-0.39630612482589617
0.021484375,-0.009765625,1.0078125,13.350000381469727,-53.55000305175781,567.489990234375,-0.0078125,0.0390625,1.009765625,-5.550000190734863,-9.0,43.07600021362305,-0.068359375,0.064453125,1.00390625,16.80000114440918,-150.75,475.2879943847656,-0.11328125,0.0,1.021484375,-19.200000762939453,22.5,-861.0360107421875,-0.158203125,-0.0390625,1.03125,123.75000762939453,-321.75,1559.68994140625,-0.18359375,-0.111328125,1.01953125,101.4000015258789,64.80000305175781,3440.755859375,3.024155018317359,2.4417718433095255,-2.8412038786644427,-3.530593414599322,1.1712581524839962,5.823092616793834,-0.6241422546787562,0.9094046371838425,-0.969568522706134,0.8833054730262084,-0.8216219263940777,1.3794985172504448,-0.0015461928969373595
0.029296875,-0.0078125,1.01171875,23.25,-50.70000076293945,574.75,-0.017578125,0.048828125,1.01953125,-8.550000190734863,-8.25,41.13999938964844,-0.072265625,0.06640625,1.0078125,17.25,-148.8000030517578,476.98199462890625,-0.09375,-0.03515625,1.017578125,-2.8500001430511475,22.200000762939453,-859.3419799804688,-0.107421875,-0.03515625,1.017578125,116.4000015258789,-323.5500183105469,1557.0279541015625,-0.10546875,-0.060546875,1.001953125,111.30000305175781,67.35000610351562,3445.35400390625,3.109762593946082,2.459426277604663,-2.623501481988818,-3.245386874730789,0.4353863953380081,6.05135359865697,0.35209679632597396,0.18690695761754939,-1.3282815162436283,1.0991645499144331,-0.0502298464887678,0.6576208265877934,0.7478958892185151
0.009765625,-0.01171875,1.005859375,18.600000381469727,-54.750003814697266,582.010009765625,-0.02734375,0.025390625,1.017578125,-9.90000057220459,-5.550000190734863,43.801998138427734,-0.05859375,-0.005859375,1.001953125,18.900001525878906,-150.60000610351562,479.6440124511719,-0.0703125,-0.083984375,1.013671875,21.600000381469727,23.850000381469727,-859.8259887695312,-0.083984375,0.04296875,1.005859375,105.60000610351562,-322.20001220703125,1561.8680419921875,-0.072265625,-0.001953125,0.99609375,109.6500015258789,76.6500015258789,3448.98388671875,2.515391903350136,2.048073152731036,-2.477332419391248,-3.444519455670662,1.1425860204145124,5.611608612149651,0.2034947286012735,0.4089292808043254,-0.807600821268236,0.84945583996196,-1.0281490674678915,1.1515652784247383,1.229835333112159
0.0078125,-0.00390625,1.009765625,22.5,-53.250003814697266,573.5399780273438,-0.021484375,0.08984375,1.015625,-5.700000286102295,-3.6000001430511475,40.89799880981445,-0.041015625,0.037109375,1.0078125,28.05000114440918,-148.20001220703125,477.95001220703125,-0.083984375,-0.095703125,1.017578125,44.400001525878906,28.950000762939453,-856.43798828125,-0.1328125,0.05859375,1.013671875,93.60000610351562,-329.25,1558.47998046875,-0.1328125,0.041015625,1.00390625,105.1500015258789,72.9000015258789,3438.820068359375,2.7985024218219565,2.465252368543303,-2.6080148904562974,-3.8943201108114316,1.449076579888202,5.8696007706091065,-0.44672411509958915,0.5677431232760162,-1.0234681671020054,1.0447637517293016,-0.9540521740107032,1.7822000584346522,0.01442181702160239
0.01171875,-0.005859375,1.009765625,22.80000114440918,-47.70000076293945,572.3300170898438,-0.013671875,0.111328125,1.01171875,-6.300000190734863,-4.650000095367432,45.25400161743164,-0.05078125,0.0859375,1.0,30.900001525878906,-148.0500030517578,474.56201171875,-0.068359375,-0.083984375,1.01171875,79.5,28.950000762939453,-878.7019653320312,-0.068359375,0.107421875,1.009765625,88.95000457763672,-327.3000183105469,1555.8179931640625,-0.05078125,0.07421875,0.994140625,106.20000457763672,72.60000610351562,3438.093994140625,3.104155499039429,2.3951285016889576,-2.3376525730986706,-3.910484800047342,1.0136001167612023,5.944310697835765,-0.277688758164816,0.7883563759776377,-1.006298234560371,1.2497196969525894,-1.288385205488425,1.5817039363203413,0.27849044020358615
0.01171875,-0.005859375,1.009765625,22.80000114440918,-52.500003814697266,575.9600219726562,-0.0234375,0.0703125,1.01171875,-9.600000381469727,-12.0,35.09000015258789,-0.060546875,0.080078125,1.001953125,34.35000228881836,-147.75,484.0,-0.08203125,-0.10546875,1.01171875,106.35000610351562,25.200000762939453,-898.7880249023438,-0.125,0.154296875,1.015625,26.55000114440918,-336.6000061035156,1567.676025390625,-0.146484375,0.197265625,1.0,147.60000610351562,88.95000457763672,3439.7880859375,3.6433270443949994,2.3649020120066,-2.3002133224798778,-3.9081076670090114,1.026316760685149,5.942591265644215,-0.3164562253573595,0.715917756542613,-0.770619501009839,1.0110170992453762,-1.1716197883724313,1.7131864925528,0.9925657189371951
