t_ns,board_id,sensor_id,t,x,y,z,in_label_time,t_frame_ns,theta_1,theta_2,theta_3,theta_4
265222554258900,2,0,28.340707778930664,30.000001907348633,-52.500003814697266,-1500.157958984375,false,,,,,
265222554258900,2,1,28.539823532104492,29.400001525878906,-457.95001220703125,-1303.89599609375,false,,,,,
265222554258900,2,2,27.78761100769043,49.95000076293945,374.5500183105469,-1329.5479736328125,false,,,,,
265222554258900,2,3,26.482301712036133,425.5500183105469,10.950000762939453,-1333.4200439453125,false,,,,,
265222554258900,2,4,27.831857681274414,361.95001220703125,-8.100000381469727,-1288.166015625,false,,,,,
265222566343600,0,0,26.283185958862305,32.400001525878906,-54.30000305175781,662.8380126953125,false,,,,,
265222566343600,0,1,26.880531311035156,9.75,-176.10000610351562,499.97198486328125,false,,,,,
265222566343600,0,2,27.65486717224121,46.5,120.9000015258789,545.468017578125,false,,,,,
265222566343600,0,3,28.296459197998047,119.4000015258789,22.5,555.1480102539062,false,,,,,
265222566343600,0,4,27.36725616455078,102.9000015258789,-36.75,522.9619750976562,false,,,,,
265222568542000,1,0,26.747787475585938,27.450000762939453,-66.75,-280.2359924316406,false,,,,,
265222568542000,1,1,28.318584442138672,12.600000381469727,511.0500183105469,-334.4440002441406,false,,,,,
265222568542000,1,2,26.747787475585938,-3.0,-489.7500305175781,-285.55999755859375,false,,,,,
265222568542000,1,3,28.6061954498291,-475.5000305175781,32.70000076293945,-257.4880065917969,false,,,,,
265222568542000,1,4,27.34513282775879,-477.45001220703125,27.000001907348633,-228.20599365234375,false,,,,,
265222570766900,2,0,28.252212524414062,28.200000762939453,-53.400001525878906,-1504.030029296875,false,,,,,
265222570766900,2,1,28.473451614379883,33.150001525878906,-456.45001220703125,-1307.283935546875,false,,,,,
265222570766900,2,2,27.5,49.500003814697266,375.6000061035156,-1332.4520263671875,false,,,,,
265222570766900,2,3,26.327434539794922,419.4000244140625,14.550000190734863,-1331.7259521484375,false,,,,,
265222570766900,2,4,27.94247817993164,368.1000061035156,-13.050000190734863,-1279.93798828125,false,,,,,
265222583030600,0,0,26.1061954498291,27.450000762939453,-55.05000305175781,644.2039794921875,false,,,,,
265222583030600,0,1,26.99114990234375,13.65000057220459,-181.20001220703125,501.1820068359375,false,,,,,
265222583030600,0,2,27.389381408691406,49.20000076293945,124.05000305175781,551.5180053710938,false,,,,,
265222583030600,0,3,28.650442123413086,106.80000305175781,22.200000762939453,545.7100219726562,false,,,,,
265222583030600,0,4,27.56637191772461,100.20000457763672,-37.5,538.2080078125,false,,,,,
265222585237000,1,0,26.681415557861328,29.400001525878906,-70.05000305175781,-280.7200012207031,false,,,,,
265222585237000,1,1,28.274335861206055,9.90000057220459,511.0500183105469,-330.8139953613281,false,,,,,
265222585237000,1,2,26.460176467895508,-7.350000381469727,-490.95001220703125,-297.1759948730469,false,,,,,
265222585237000,1,3,28.628318786621094,-482.2500305175781,27.900001525878906,-267.1679992675781,false,,,,,
265222585237000,1,4,27.234512329101562,-469.95001220703125,13.65000057220459,-233.28799438476562,false,,,,,
265222587630700,2,0,28.207963943481445,28.650001525878906,-55.500003814697266,-1495.3179931640625,false,,,,,
265222587630700,2,1,28.539823532104492,26.100000381469727,-460.5000305175781,-1304.137939453125,false,,,,,
265222587630700,2,2,27.65486717224121,46.95000076293945,372.1500244140625,-1335.35595703125,false,,,,,
265222587630700,2,3,26.327434539794922,423.7500305175781,15.300000190734863,-1332.2099609375,false,,,,,
265222587630700,2,4,27.809734344482422,370.5,-12.15000057220459,-1278.4859619140625,false,,,,,
265222599729700,0,0,26.084070205688477,29.100000381469727,-58.80000305175781,653.8839721679688,false,,,,,
265222599729700,0,1,26.725664138793945,7.950000286102295,-176.70001220703125,504.57000732421875,false,,,,,
265222599729700,0,2,27.63274383544922,45.30000305175781,123.45000457763672,546.1939697265625,false,,,,,
